Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_163	2	43.09513489	909	2.49e-05	0	1	-0.324	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria	2012_warming
X16S_16383	1	0	0	1.05e-05	0	5	-0.694	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria	2012_warming
X16S_16427	1	0	0	1.58e-234	0	27	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_warming
X16S_1647	1	0	0	2.83e-277	0	43	0	0	Bacteria	Bacteroidetes	Bacteroidetes_incertae_sedis	Unclassified	Unclassified	Ohtaekwangia	Bacteria_Bacteroidetes	2012_warming
X16S_1648	7	7498.086823	36500	4.73e-08	0	3	2.263	0.244	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria	2012_warming
X16S_165	2	1	1	1.58e-234	0	27	0	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_warming
X16S_16543	1	0	0	0.004390499	0	0	-0.77	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_warming
X16S_1665	3	2622.60784	9396	1.87e-08	0	8	1.213	0	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Bacteroidetes	2012_warming
X16S_167	4	543	1969	6.36e-08	0.5	2	0.212	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Bacteria_Actinobacteria	2012_warming
X16S_1684	1	0	0	4.57e-11	0	4	-0.787	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Paenibacillus	Bacteria_Firmicutes	2012_warming
X16S_170	1	0	0	2.19e-07	0	1	-0.713	0	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unclassified	Unclassified	Gp5	Bacteria_Acidobacteria	2012_warming
X16S_1701	1	0	0	2.83e-277	0	69	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	Bacteria_Proteobacteria	2012_warming
X16S_17156	3	457.7228659	4370	1.26e-08	0	2	-0.094	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Blastococcus	Bacteria_Actinobacteria	2012_warming
X16S_173	1	0	0	2.83e-277	0	59	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Unclassified	Bacteria_Proteobacteria	2012_warming
X16S_17337	1	0	0	2.83e-277	0	39	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium	Bacteria_Proteobacteria	2012_warming
