node1	node2	sign	year_trt	edge
X16S_1262	X16S_6590	-1	2009_controlandwarm	X16S_1262__X16S_6590
X16S_4297	X16S_12795	-1	2009_controlandwarm	X16S_4297__X16S_12795
X16S_35	X16S_1309	 1	2009_controlandwarm	X16S_35__X16S_1309
X16S_3578	X16S_13356	-1	2009_controlandwarm	X16S_3578__X16S_13356
X16S_5487	X16S_13356	-1	2009_controlandwarm	X16S_5487__X16S_13356
X16S_1342	X16S_2593	-1	2009_controlandwarm	X16S_1342__X16S_2593
X16S_135	X16S_14493	 1	2009_controlandwarm	X16S_135__X16S_14493
X16S_135	X16S_14736	 1	2009_controlandwarm	X16S_135__X16S_14736
X16S_822	X16S_13726	 1	2009_controlandwarm	X16S_822__X16S_13726
X16S_14095	X16S_23064	-1	2009_controlandwarm	X16S_14095__X16S_23064
X16S_6486	X16S_14095	-1	2009_controlandwarm	X16S_6486__X16S_14095
X16S_920	X16S_14095	-1	2009_controlandwarm	X16S_920__X16S_14095
X16S_1433	X16S_3547	-1	2009_controlandwarm	X16S_1433__X16S_3547
X16S_54	X16S_1437	 1	2009_controlandwarm	X16S_54__X16S_1437
X16S_1438	X16S_2348	-1	2009_controlandwarm	X16S_1438__X16S_2348
X16S_418	X16S_1438	 1	2009_controlandwarm	X16S_418__X16S_1438
X16S_1445	X16S_4631	-1	2009_controlandwarm	X16S_1445__X16S_4631
X16S_14493	X16S_14736	 1	2009_controlandwarm	X16S_14493__X16S_14736
X16S_5886	X16S_14493	 1	2009_controlandwarm	X16S_5886__X16S_14493
X16S_82	X16S_145	 1	2009_controlandwarm	X16S_82__X16S_145
X16S_14559	X16S_22822	-1	2009_controlandwarm	X16S_14559__X16S_22822
X16S_6107	X16S_14559	-1	2009_controlandwarm	X16S_6107__X16S_14559
X16S_5	X16S_14601	 1	2009_controlandwarm	X16S_5__X16S_14601
X16S_719	X16S_14608	-1	2009_controlandwarm	X16S_719__X16S_14608
X16S_2	X16S_14617	 1	2009_controlandwarm	X16S_2__X16S_14617
X16S_223	X16S_14617	 1	2009_controlandwarm	X16S_223__X16S_14617
X16S_290	X16S_14617	 1	2009_controlandwarm	X16S_290__X16S_14617
X16S_1473	X16S_2327	-1	2009_controlandwarm	X16S_1473__X16S_2327
X16S_1473	X16S_7624	-1	2009_controlandwarm	X16S_1473__X16S_7624
X16S_225	X16S_14736	 1	2009_controlandwarm	X16S_225__X16S_14736
X16S_2293	X16S_14736	 1	2009_controlandwarm	X16S_2293__X16S_14736
X16S_5	X16S_14736	 1	2009_controlandwarm	X16S_5__X16S_14736
X16S_50	X16S_14736	 1	2009_controlandwarm	X16S_50__X16S_14736
X16S_5886	X16S_14736	 1	2009_controlandwarm	X16S_5886__X16S_14736
X16S_597	X16S_14736	 1	2009_controlandwarm	X16S_597__X16S_14736
X16S_14774	X16S_15872	-1	2009_controlandwarm	X16S_14774__X16S_15872
X16S_150	X16S_490	 1	2009_controlandwarm	X16S_150__X16S_490
X16S_15091	X16S_19111	-1	2009_controlandwarm	X16S_15091__X16S_19111
X16S_153	X16S_424	 1	2009_controlandwarm	X16S_153__X16S_424
X16S_15316	X16S_26074	 1	2009_controlandwarm	X16S_15316__X16S_26074
X16S_6522	X16S_15316	 1	2009_controlandwarm	X16S_6522__X16S_15316
X16S_424	X16S_15336	 1	2009_controlandwarm	X16S_424__X16S_15336
X16S_154	X16S_7883	 1	2009_controlandwarm	X16S_154__X16S_7883
X16S_1540	X16S_21833	-1	2009_controlandwarm	X16S_1540__X16S_21833
X16S_829	X16S_1542	 1	2009_controlandwarm	X16S_829__X16S_1542
X16S_156	X16S_2061	 1	2009_controlandwarm	X16S_156__X16S_2061
X16S_157	X16S_7108	 1	2009_controlandwarm	X16S_157__X16S_7108
X16S_15872	X16S_20857	-1	2009_controlandwarm	X16S_15872__X16S_20857
X16S_4782	X16S_15872	-1	2009_controlandwarm	X16S_4782__X16S_15872
X16S_2865	X16S_15884	 1	2009_controlandwarm	X16S_2865__X16S_15884
X16S_15948	X16S_19117	 1	2009_controlandwarm	X16S_15948__X16S_19117
X16S_15948	X16S_22242	 1	2009_controlandwarm	X16S_15948__X16S_22242
X16S_1607	X16S_3578	-1	2009_controlandwarm	X16S_1607__X16S_3578
X16S_1608	X16S_7418	-1	2009_controlandwarm	X16S_1608__X16S_7418
X16S_16106	X16S_19341	 1	2009_controlandwarm	X16S_16106__X16S_19341
X16S_1614	X16S_2401	-1	2009_controlandwarm	X16S_1614__X16S_2401
X16S_2054	X16S_16162	-1	2009_controlandwarm	X16S_2054__X16S_16162
X16S_2646	X16S_16162	-1	2009_controlandwarm	X16S_2646__X16S_16162
X16S_6	X16S_16162	 1	2009_controlandwarm	X16S_6__X16S_16162
X16S_1887	X16S_16194	-1	2009_controlandwarm	X16S_1887__X16S_16194
X16S_16274	X16S_24090	 1	2009_controlandwarm	X16S_16274__X16S_24090
X16S_615	X16S_1635	-1	2009_controlandwarm	X16S_615__X16S_1635
X16S_1669	X16S_3182	-1	2009_controlandwarm	X16S_1669__X16S_3182
