Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum
X16S_7449	2	0	0	0.009258581	1	0	-0.714	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_7456	11	5209.168622	83655	0.080431301	0.236363636	3	0.088	0.561	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_75	7	422.7586995	3501	0.021307393	0.380952381	0	0.218	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_7553	13	3486.131733	26166	0.060475599	0.205128205	3	0.735	0.378	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unclassified	Unclassified	Gp7	Bacteria_Acidobacteria
X16S_76	1	0	0	6.22E-108	0	54	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unclassified	Unclassified	Gp7	Bacteria_Acidobacteria
X16S_760	1	0	0	0.004885909	0	3	-0.719	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria
X16S_771	1	0	0	0.010031631	0	3	-0.719	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_7779	1	0	0	0.003537521	0	3	-0.719	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unclassified	Unclassified	Gp16	Bacteria_Acidobacteria
X16S_7797	1	0	0	9.22E-07	0	5	-0.675	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_7813	1	0	0	2.90E-07	0	9	-0.637	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified
X16S_7825	5	5609.153784	34163	0.013388553	0.1	2	-0.161	0.64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Unclassified	Bacteria_Proteobacteria
X16S_7888	8	983.2039342	11393	0.058334265	0.214285714	3	0.088	0.406	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_79	10	2762.055404	27558	0.114923125	0.422222222	3	0.411	0.34	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_7905	3	918.7634921	3321	5.38E-06	0	12	1.459	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_794	1	0	0	4.56E-05	0	0	-0.9	0	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria
X16S_7983	2	618	4480	4.67E-06	0	7	-0.076	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Bacteria_Proteobacteria
X16S_799	4	716.1635998	3197	0.003646639	0.166666667	0	-0.527	0.375	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Bacteria_Proteobacteria
X16S_80	13	1327.344249	12333	0.127721917	0.358974359	3	1.22	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_801	9	3006.639873	40033	0.001615311	0	1	1.21	0.197	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_8043	3	43.04768803	566	0.031376605	0	3	-0.396	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unclassified	Unclassified	Gp16	Bacteria_Acidobacteria
X16S_8052	1	0	0	5.75E-08	0	9	-0.637	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	Bacteria_Actinobacteria
X16S_807	1	0	0	0.00235756	0	0	-0.9	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_809	1	0	0	8.74E-05	0	6	-0.854	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_81	18	6730.276152	55037	0.116503209	0.366013072	0	1.897	0.203	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria
X16S_8148	2	1848	15888	0.002431695	0	5	-0.342	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Bacteria_Proteobacteria
X16S_817	2	618	4147	0.000280906	0	1	-0.354	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Bacteria_Proteobacteria
X16S_82	1	0	0	0.009334297	0	3	-0.719	0	Bacteria	Nitrospira	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Bacteria_Nitrospira
X16S_820	1	0	0	4.63E-08	0	11	-1.133	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_821	3	1628.9312	19491	0.000340077	0	4	0	0.444	Bacteria	Firmicutes	Bacilli	Bacillales	Pasteuriaceae	Pasteuria	Bacteria_Firmicutes
X16S_837	4	813.8806183	13493	0.001237537	0	1	0.167	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_84	2	0	0	0.000205782	1	6	-0.081	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_841	2	731.661026	3698	0.006080753	0	6	-0.854	0.5	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	Bacteria_Planctomycetes
X16S_843	1	0	0	0.001360997	0	3	-0.719	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes
X16S_844	1	0	0	5.83E-05	0	1	-0.615	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	Bacteria_Planctomycetes
X16S_8546	1	0	0	0.010592605	0	3	-0.719	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_8598	3	14.12588714	182	0.007695413	0.333333333	3	-0.396	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria
X16S_86	1	0	0	0.009213433	0	3	-0.719	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_864	1	0	0	0.00235756	0	0	-0.9	0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Bacteria_Proteobacteria
X16S_87	2	618	5639	0.000761744	0	5	-0.342	0	Bacteria	Actinobacteria	Actinobacteria	Thermoleophilales	Thermoleophilaceae	Thermoleophilum	Bacteria_Actinobacteria
X16S_876	1	0	0	1.78E-06	0	4	-0.547	0	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unclassified	Unclassified	Gp16	Bacteria_Acidobacteria
X16S_879	3	0	0	0.007003359	1	0	-0.527	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Unclassified	Bacteria_Proteobacteria
X16S_88	1	0	0	0.000540014	0	5	-0.675	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria
X16S_880	3	542.2803503	2959	0.004524613	0	1	-0.615	0.666	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Bacteria_Planctomycetes
X16S_882	4	1298.564239	7525	0.001211931	0	6	1.464	0	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Bacteria_Verrucomicrobia
X16S_8849	3	1234	11276	0.010504783	0.333333333	5	-0.342	0.444	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_89	1	0	0	6.22E-108	0	52	0	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Bacteria_Actinobacteria
X16S_8943	5	42.00280326	515	0.013731681	0.4	0	-0.154	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Bacteria_Planctomycetes
X16S_91	2	0	0	5.01E-06	1	7	-0.076	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria
X16S_912	1	0	0	0.005341329	0	0	-0.9	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_9134	2	0	0	0.01688079	1	3	-0.558	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unclassified	Bacteria_Actinobacteria
X16S_9189	1	0	0	1.22E-09	0	2	-0.838	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_921	5	2266.453637	21385	0.003585335	0	1	-0.093	0.56	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified
X16S_923	2	1	1	8.75E-94	0	25	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Bacteria_Proteobacteria
X16S_924	1	0	0	0.00235756	0	0	-0.9	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes
X16S_927	1	0	0	0.000796855	0	1	-0.615	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax	Bacteria_Proteobacteria
