OTU	X14_10N_H_N_1	X14_10S_H_C_1	X14_15N_H_N_0	X14_15S_H_C_0	X14_16N_H_N_1	X14_16S_H_C_1	X14_18N_H_N_0	X14_18S_H_C_0	X14_1N_H_N_1	X14_1S_H_C_1	X14_20N_H_N_1	X14_20S_H_C_1	X14_21N_H_N_2	X14_21S_H_C_2	X14_22N_H_N_2	X14_22S_H_C_2	X14_2N_H_N_0	X14_2S_H_C_0	X14_4N_H_N_2	X14_4S_H_C_2	X14_5N_H_N_0	X14_5S_H_C_0	X14_7N_H_N_2	X14_7S_H_C_2
X16S_257	8	17	3	1	8	39	9	11	129	30	4	10	1	9	3	3	6	40	8	7	19	4	26	6
X16S_258	7	3	0	0	1	5	2	0	1	4	0	2	3	14	2	5	0	1	4	10	1	6	0	1
X16S_259	17	9	14	9	8	6	25	15	14	7	16	4	20	4	7	3	10	3	8	6	10	11	0	6
X16S_260	0	3	0	0	1	2	3	0	1	12	0	11	0	0	96	0	0	0	1	3	1	0	1	0
X16S_261	2	13	17	15	4	3	7	30	18	18	17	5	6	4	4	7	25	47	7	8	14	1	12	13
X16S_262	9	3	1	1	5	12	3	7	5	11	2	6	5	3	4	4	1	15	4	4	7	8	5	2
X16S_263	0	0	0	0	7	4	0	0	0	1	0	0	0	1	3	12	0	10	0	1	0	3	2	10
X16S_264	2	14	6	3	2	3	16	7	1	7	23	6	33	8	7	15	0	1	3	5	0	1	1	0
X16S_265	2	6	4	5	3	0	1	3	5	10	0	25	10	30	1	1	2	0	3	4	1	5	2	6
X16S_266	16	2	0	0	7	19	0	4	6	38	0	3	3	3	0	3	11	30	26	19	26	30	16	2
X16S_267	2	3	6	7	12	10	4	5	8	5	6	11	1	3	1	2	16	20	2	7	18	6	6	7
X16S_268	0	4	0	0	1	10	2	4	0	7	1	6	0	5	19	61	0	0	1	20	1	6	15	9
X16S_269	24	14	67	51	7	6	49	4	22	7	17	5	7	3	2	1	9	0	45	11	15	7	0	34
