OTU	X14_10N_H_N_1	X14_10S_H_C_1	X14_15N_H_N_0	X14_15S_H_C_0	X14_16N_H_N_1	X14_16S_H_C_1	X14_18N_H_N_0	X14_18S_H_C_0	X14_1N_H_N_1	X14_1S_H_C_1	X14_20N_H_N_1	X14_20S_H_C_1	X14_21N_H_N_2	X14_21S_H_C_2	X14_22N_H_N_2	X14_22S_H_C_2	X14_2N_H_N_0	X14_2S_H_C_0	X14_4N_H_N_2	X14_4S_H_C_2	X14_5N_H_N_0	X14_5S_H_C_0	X14_7N_H_N_2	X14_7S_H_C_2
X16S_3806	4	0	2	2	2	3	6	3	2	0	0	0	2	0	1	1	2	3	2	1	6	1	4	0
X16S_3807	0	0	0	1	1	0	0	5	1	0	0	1	0	0	0	0	1	4	0	2	0	0	1	1
X16S_3808	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0
X16S_3809	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
X16S_3812	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
X16S_3814	3	1	17	7	9	7	1	3	4	4	4	2	4	4	4	2	0	2	5	2	5	1	3	3
X16S_3815	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X16S_3816	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X16S_3817	1	1	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0
X16S_3818	0	1	0	1	2	4	1	0	0	2	0	1	0	2	5	2	0	2	2	1	1	1	2	3
X16S_3819	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
X16S_3820	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3821	0	3	0	1	0	0	0	0	0	1	0	0	2	1	0	7	0	0	1	0	0	0	0	0
X16S_3822	30	5	11	16	23	24	10	38	22	21	11	16	4	15	7	10	33	66	31	18	60	23	31	11
X16S_3823	3	0	0	4	1	2	2	4	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	5
X16S_3824	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	3	2
X16S_3825	2	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1
X16S_3826	5	2	0	0	0	0	0	3	3	2	0	6	1	3	0	0	0	0	3	3	0	0	0	0
X16S_3827	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
X16S_3828	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0
X16S_3829	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
X16S_3830	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
X16S_3831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
X16S_3832	0	3	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	3	0	3	0	0
X16S_3833	0	3	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
X16S_3834	0	0	0	0	2	0	0	0	0	0	0	8	3	2	0	0	2	0	0	1	0	0	0	1
X16S_3835	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
X16S_3836	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
X16S_3837	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
X16S_3838	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
X16S_3839	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	2
X16S_3840	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
X16S_3841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
X16S_3842	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
X16S_3843	1	0	0	0	1	0	0	1	1	2	0	0	1	0	0	1	0	1	0	1	1	0	0	0
X16S_3844	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	4	0	0	4
X16S_3845	0	2	0	1	0	1	3	2	0	1	0	0	0	1	0	0	0	1	0	0	1	5	1	2
X16S_3846	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
X16S_3847	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3848	1	4	1	2	1	1	0	1	0	2	1	1	5	2	3	4	0	1	1	7	1	3	0	1
X16S_3849	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0
X16S_3850	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3851	0	5	11	7	0	3	31	4	18	3	10	1	2	0	2	0	3	0	9	0	5	0	0	0
X16S_3852	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
X16S_3853	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	1	0
X16S_3854	3	0	0	0	0	2	1	0	0	1	1	0	1	2	0	0	0	1	0	1	1	0	0	0
X16S_3855	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1
X16S_3856	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	2	0
X16S_3857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
X16S_3858	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	17	0	0	0	0	0	0
X16S_3859	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0
X16S_3860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0
X16S_3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X16S_3862	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
X16S_3863	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0
X16S_3864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
X16S_3865	0	9	3	0	3	2	11	0	2	5	0	6	0	3	7	1	0	9	0	0	4	2	4	0
X16S_3866	1	2	0	0	0	3	0	0	0	1	2	0	1	1	1	3	0	2	0	1	0	1	1	0
X16S_3867	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	1
X16S_3868	0	2	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0
X16S_3869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2
X16S_3870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
X16S_3871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
X16S_3873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X16S_3874	0	1	0	0	0	0	2	0	1	0	1	0	6	0	2	1	0	0	0	0	0	0	0	0
X16S_3875	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	6	0	0	0	3	0	2	0
X16S_3876	0	2	0	0	1	1	5	5	3	2	0	7	1	0	0	0	4	1	2	0	2	1	1	0
X16S_3877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
X16S_3878	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	1	1	0
X16S_3880	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0
X16S_3881	0	0	7	7	0	0	0	0	0	1	6	1	3	0	0	0	4	0	0	0	1	0	0	0
X16S_3882	0	1	0	0	0	0	0	0	0	0	0	1	0	3	9	1	0	0	1	0	0	0	0	5
X16S_3883	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0
X16S_3884	3	4	0	2	1	4	0	2	0	1	0	3	2	0	1	1	18	2	3	13	5	2	2	0
X16S_3885	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3886	0	0	0	0	1	2	2	0	1	0	1	0	3	0	0	0	1	2	0	0	2	0	2	3
X16S_3887	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
X16S_3889	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
X16S_3890	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0
X16S_3891	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	2	1	3	1
X16S_3892	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	2	0	1	0
X16S_3893	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3894	2	0	0	1	2	3	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	1	1	1
X16S_3895	1	0	0	2	10	2	1	0	6	2	2	2	0	0	0	0	6	0	2	1	4	0	3	0
X16S_3896	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0
X16S_3897	0	1	2	1	1	0	0	0	1	1	2	1	2	0	1	0	1	1	1	0	0	0	0	1
X16S_3898	0	0	0	0	0	1	0	0	0	1	1	2	1	2	0	0	2	0	1	2	1	0	0	0
X16S_3899	2	3	1	6	0	1	0	0	4	0	4	0	2	3	0	0	3	0	1	1	0	2	1	1
X16S_3900	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
X16S_3901	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
X16S_3902	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
X16S_3903	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0
X16S_3904	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3905	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	3	0	0	0
X16S_3906	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
X16S_3907	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3908	0	0	56	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
X16S_3909	0	3	0	0	4	0	0	2	2	0	1	0	0	0	0	0	1	14	0	0	10	0	0	0
X16S_3910	1	0	0	1	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
X16S_3911	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	1	0	0
X16S_3913	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3914	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
X16S_3915	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
X16S_3916	0	6	0	1	0	0	0	0	40	0	0	0	0	0	0	1	1	1	0	1	1	2	0	0
X16S_3918	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
X16S_3919	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3920	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
X16S_3921	0	0	0	0	0	0	0	23	2	3	0	0	0	7	0	1	0	4	4	16	0	3	1	0
X16S_3922	0	0	0	0	0	0	0	5	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0
X16S_3923	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	1	0
X16S_3924	0	4	0	3	1	3	0	6	24	13	4	0	1	3	0	0	19	7	1	3	15	5	9	0
X16S_3925	2	0	1	2	0	1	0	2	1	1	1	4	2	3	0	1	2	0	3	3	3	0	0	1
X16S_3926	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1
X16S_3927	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3928	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0
X16S_3929	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
X16S_3930	0	0	0	0	0	0	7	1	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
X16S_3931	0	0	3	2	1	1	0	0	2	0	2	0	1	0	0	0	23	2	2	0	0	0	0	0
X16S_3932	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0
X16S_3933	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1
X16S_3934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
X16S_3935	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
X16S_3936	0	3	0	0	1	1	0	3	2	0	0	1	0	1	0	0	0	3	0	1	0	1	0	0
X16S_3938	0	0	4	5	0	0	0	0	0	0	2	0	1	1	1	0	2	0	6	0	0	0	0	0
X16S_3939	1	0	0	0	71	2	0	1	1	0	0	1	5	1	2	0	2	2	0	0	0	1	0	0
X16S_3941	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
X16S_3942	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X16S_3943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
X16S_3944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
X16S_3945	0	1	0	0	1	1	2	0	0	1	0	3	0	0	3	2	0	0	0	2	1	1	0	0
X16S_3946	1	1	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	1	0	0
X16S_3947	2	0	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	1	0	1	0	1	0	0
X16S_3948	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	2	1	4	5	2	2	4
X16S_3949	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
X16S_3950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X16S_3951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X16S_3952	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0
X16S_3953	1	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	4	4
X16S_3954	1	0	0	0	0	0	0	0	0	4	0	0	1	0	1	1	0	1	0	0	0	0	0	1
X16S_3955	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
X16S_3956	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	1	8	1
X16S_3957	8	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
X16S_3958	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	1
X16S_3959	0	1	1	0	0	0	4	0	0	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0
X16S_3960	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
X16S_3961	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
X16S_3962	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
X16S_3964	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
X16S_3965	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	1	0	1	0	0	0
X16S_3966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
X16S_3967	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
X16S_3968	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0
X16S_3969	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
X16S_3970	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
X16S_3971	0	2	1	0	0	0	1	0	0	0	2	3	0	1	0	0	1	1	0	2	0	0	0	1
X16S_3972	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	1
X16S_3973	0	1	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0
X16S_3974	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
X16S_3975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X16S_3976	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
X16S_3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
X16S_3978	1	0	0	0	0	1	0	1	1	1	0	0	2	1	0	31	0	1	3	5	25	0	3	3
X16S_3979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1
X16S_3981	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	1	4
X16S_3982	10	9	0	2	7	16	0	5	6	6	4	5	4	14	7	12	3	11	15	26	10	7	5	6
X16S_3983	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	2
X16S_3985	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1
X16S_3986	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
X16S_3987	1	2	0	0	0	0	0	1	7	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0
X16S_3988	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
X16S_3989	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0
X16S_3990	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	5	0	0	0	0	0	0	0	0
X16S_3991	0	1	0	0	0	0	0	0	0	1	0	5	1	0	0	0	3	2	0	0	0	2	0	0
X16S_3992	0	0	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0
X16S_3993	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X16S_3994	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0
X16S_3995	0	2	0	0	0	0	0	1	0	3	0	0	3	2	0	0	1	2	1	11	2	3	1	0
X16S_3997	1	3	3	1	18	4	18	2	1	3	0	1	8	2	1	1	1	3	0	1	2	1	5	1
X16S_3998	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4000	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0
X16S_4001	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
X16S_4002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	3
X16S_4003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2
X16S_4005	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X16S_4006	0	15	0	1	0	26	0	1	9	19	0	12	0	11	0	16	1	7	12	19	0	9	1	6
X16S_4007	0	1	0	0	1	0	2	0	1	3	0	2	2	1	1	3	1	0	0	0	0	0	0	1
X16S_4008	0	0	0	0	1	3	2	0	1	2	1	0	3	1	1	0	0	0	1	0	0	0	3	0
X16S_4011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	2	0	1	1
X16S_4013	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4014	0	4	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0
X16S_4015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
X16S_4016	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	3	1
X16S_4017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
X16S_4018	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4019	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0
X16S_4021	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1
X16S_4022	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
X16S_4023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
X16S_4024	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4025	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
X16S_4026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1
X16S_4027	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
X16S_4028	0	3	12	4	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1
X16S_4029	0	2	0	0	1	0	5	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	6	0
X16S_4030	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0
X16S_4032	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0
X16S_4033	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0
X16S_4035	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1
X16S_4036	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1
X16S_4037	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
X16S_4038	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
X16S_4039	12	1	0	0	2	1	0	0	3	1	0	1	0	0	1	2	1	2	2	5	0	4	2	2
X16S_4041	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
X16S_4042	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4043	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	2	1	1	0	0	0
X16S_4044	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
X16S_4045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
X16S_4046	0	2	0	0	0	1	0	2	0	8	0	0	0	0	0	0	0	2	0	1	0	0	0	0
X16S_4047	1	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
X16S_4049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
X16S_4050	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
X16S_4052	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
X16S_4054	0	0	20	7	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0
X16S_4055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X16S_4056	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
X16S_4057	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	1
X16S_4058	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	0	0	0	0	3
X16S_4059	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
X16S_4061	2	0	1	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
X16S_4062	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1
X16S_4063	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
X16S_4064	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
X16S_4065	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
X16S_4066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
X16S_4067	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
X16S_4068	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
X16S_4069	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
X16S_4070	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
X16S_4071	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3
X16S_4073	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_4074	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	2	0	0	0
X16S_4075	1	1	0	0	1	2	2	0	2	0	0	0	0	0	1	2	1	1	1	0	1	0	5	1
X16S_4076	0	0	0	0	0	2	0	1	0	1	0	0	0	2	0	2	0	0	0	1	1	1	0	0
X16S_4077	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0
X16S_4078	0	0	1	1	2	0	0	0	0	0	0	0	1	1	4	2	0	0	0	0	0	0	2	2
X16S_4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
